level,num_start_user,winrate,drop,arpu,adrw,booster,exit_rate,adrw_per_user,booster_per_user
1,10472,1.00,0.0439266615737204,0.01059553919274120,,,0.0435446906035141,0.000000000000000,0
2,10012,1.00,0.0482421094686376,0.00736749386434456,571,,0.0578306032760687,0.057031562125450,0
3,9529,1.00,0.0763983628922238,0.00849772207565924,434,170,0.0930842690733550,0.045545177878057,0.01784027705
4,8801,0.99,0.0844222247471879,0.03311025550891420,404,117,0.0610157936598114,0.045903874559709,0.01329394387
5,8058,0.84,0.0927029039463887,0.06697902998497400,2094,756,0.0498883097542815,0.259865971705138,0.0938198064
6,7311,0.92,0.0853508411981945,0.06214292475018180,392,476,0.0571741211872521,0.053617836137327,0.06510737245
7,6687,0.89,0.0822491401226260,0.06779706142342980,1052,467,0.0587707492148946,0.157320173470914,0.06983699716
8,6137,0.94,0.0689261854326219,0.06059932800272980,339,534,0.0506762261691380,0.055238715985009,0.08701319863
9,5714,0.83,0.0707035351767589,0.06380063138744170,2347,621,0.0553027651382569,0.410745537276864,0.108680434
10,5310,0.88,0.0870056497175141,0.09513835301101830,330,392,0.1322033898305080,0.062146892655367,0.07382297552
11,4848,0.75,0.0884900990099010,0.09478266400217580,781,751,0.1252062706270630,0.161097359735974,0.1549092409
12,4419,0.68,0.0782982575243267,0.09266955486987760,840,901,0.0966281964245304,0.190088255261371,0.2038922833
13,4073,0.71,0.0611342990424748,0.08879287745344880,882,662,0.0677633194205745,0.216547999017923,0.1625337589
14,3824,0.72,0.0627615062761506,0.09243207236383630,382,725,0.0656380753138075,0.099895397489540,0.1895920502
15,3584,0.61,0.0636160714285714,0.09678868054228010,1290,1324,0.0700334821428571,0.359933035714286,0.3694196429
16,3356,0.66,0.0485697258641240,0.10127594710510800,1111,708,0.0640643623361144,0.331048867699642,0.210965435
17,3193,0.60,0.0466645787660508,0.08729015716415030,831,803,0.0447854682117131,0.260256811775760,0.2514876292
18,3044,0.57,0.0571616294349540,0.08888505218213670,1020,878,0.0512483574244415,0.335085413929041,0.2884362681
19,2870,0.71,0.0355400696864111,0.06467619430527740,323,405,0.0355400696864112,0.112543554006969,0.1411149826
20,2768,0.37,0.0559971098265896,0.10004008106767000,628,1661,0.0343208092485549,0.226878612716763,0.6000722543
21,2613,0.57,0.0417145044010716,0.08568975982441790,845,730,0.0375047837734405,0.323383084577114,0.2793723689
22,2504,0.71,0.0295527156549521,0.06466925816593290,646,426,0.0415335463258786,0.257987220447284,0.1701277955
23,2430,0.61,0.0320987654320988,0.06303798605348520,336,770,0.0436213991769547,0.138271604938272,0.316872428
24,2352,0.64,0.0276360544217688,0.07316129112913140,597,483,0.0361394557823129,0.253826530612245,0.2053571429
25,2287,0.62,0.0376038478355925,0.06154181799795060,363,603,0.0376038478355925,0.158723218189768,0.2636641889
26,2201,0.73,0.0272603362108133,0.06433197088138030,831,360,0.0445252158109950,0.377555656519764,0.1635620173
27,2141,0.32,0.0569827183559084,0.11605269357440600,1218,1466,0.0317608594114900,0.568893040635217,0.6847267632
28,2019,0.37,0.0534918276374443,0.08989670496847940,1202,969,0.0178306092124814,0.595344229816741,0.4799405646
29,1911,0.79,0.0083725798011513,0.05171998104644580,244,248,0.0361067503924647,0.127681841967556,0.1297749869
30,1895,0.23,0.0902374670184697,0.14778155127963300,1856,1965,0.0290237467018470,0.979419525065963,1.036939314
31,1724,0.73,0.0034802784222738,0.03263306964482480,222,130,0.0104408352668213,0.128770301624130,0.07540603248
32,1718,0.82,0.0098952270081490,0.04312755502199670,214,237,0.0227008149010477,0.124563445867288,0.1379511059
33,1701,0.56,0.0352733686067019,0.06684839662369140,609,544,0.0329218106995885,0.358024691358025,0.3198118754
34,1641,0.70,0.0097501523461304,0.06309671918548020,346,258,0.0231566118220597,0.210847044485070,0.1572212066
35,1625,0.46,0.0295384615384615,0.07300483368586960,886,651,0.0381538461538462,0.545230769230769,0.4006153846
36,1577,0.35,0.0145846544071021,0.08342613434002160,485,1128,0.0196575776791376,0.307545973367153,0.7152821814
37,1554,0.13,0.0849420849420850,0.17486151254595600,2042,2456,0.0109395109395109,1.314028314028310,1.58043758
38,1422,0.21,0.0646976090014064,0.11124519266261700,820,1661,0.0133614627285513,0.576652601969058,1.168073136
39,1330,0.69,0.0248120300751880,0.05251101466805340,338,223,0.0180451127819549,0.254135338345865,0.1676691729
40,1297,0.66,0.0007710100231303,0.04955636763943570,451,324,0.0239013107170393,0.347725520431766,0.2498072475
41,1298,0.21,0.0616332819722650,0.10566806983051500,835,1740,0.0107858243451464,0.643297380585516,1.340523883
